Section,Paragraph,Topic
"a. Introduction to the approach of making certain applyInPandas operations faster 
b. Explanation of generating dummy data for the example using Spark 
c. Code for generating the initial dataframe with specified number of rows, devices, and trips","In this short tutorial, we’ll implement an approach to making certain applyInPandas operations run many times faster. First, let's generate some dummy data for this example using Spark. For our example, we’ll create a function that returns a dataframe with the specified number of rows, devices, and trips. In this case, we’ll create five million rows for 100 devices that take 1,000 trips each, with some random “sensor_reading” data to process. If we paste this into Databricks, it should take just a moment to run:

from pyspark.sql.functions import rand
import pandas as pd

def generate_initial_df(num_rows, num_devices, num_trips):
   return (
       spark.range(num_rows)
      .withColumn('device_id', (rand()*num_devices).cast('int'))
      .withColumn('trip_id', (rand()*num_trips).cast('int'))
      .withColumn('sensor_reading', (rand()*1000))
      .drop('id')
   )

df = generate_initial_df(5000000, 100, 1000)
df.display()",Optimizing the performance of applyInPandas operations in Spark by combining distributed processing with in-memory processing using custom aggregators.
"a. Traditional approach of using applyInPandas for applying Pandas operations to groups within a Spark dataframe 
b. Code for applying a custom normalization function to groups of devices and trips 
c. Explanation of the time taken for completion of the traditional approach","Typically, to apply Pandas operations to groups within a Spark dataframe, we’d use applyInPandas like below. This can be helpful when you have a requirement to process data by some specific key(s), such as the groups of devices and trips. We could run custom aggregations on certain groups, or normalization per device and trip like in the example below:

def normalize_device_and_trip(pdf: pd.DataFrame) -> pd.DataFrame:
  reading = pdf.sensor_reading
  pdf['normalized_reading'] = reading.mean() / reading.std()
  return pdf

expected_schema = 'device_id int, trip_id int, sensor_reading long, normalized_reading long'
df.groupBy('device_id', 'trip_id').applyInPandas(normalize_device_and_trip, expected_schema).display()",Optimizing the performance of applyInPandas operations in Spark by combining distributed processing with in-memory processing using custom aggregators.
"a. Explanation of the issue with the traditional approach when groupings are too large to fit in memory 
b. Code for calculating the average number of rows per device and trip","Unfortunately, this may take more time to complete than expected given the small volume of data (roughly a little over a minute, depending on your cluster). In the background, Spark is using PyArrow to serialize each group into a Pandas dataframe and run the computation you defined on each group in parallel across the cluster. This is fine when you have a lot of data in each group. However, in this case, we know we have very few rows per group - just fifty rows per trip on average but fifty thousand per device_id:

print(df.count() / df.select('device_id').distinct().count()) # 50,000
print(df.count() / df.select('device_id', 'trip_id').distinct().count()) # ~50",Optimizing the performance of applyInPandas operations in Spark by combining distributed processing with in-memory processing using custom aggregators.
"a. Improved approach combining Spark’s custom aggregator with traditional Pandas custom aggregator 
b. Code for normalizing device and trip data using the improved approach 
c. Explanation of the time taken for completion of the improved approach","

We get the best of in-memory processing and distributed processing by combining Spark’s custom aggregator, applyInPandas, with the traditional Pandas custom aggregator. In this example we’ll process each device_id group in parallel (distributed and serialized), then aggregate further on the trip_id (not distributed or serialized further):

def normalize_trip(pdf: pd.DataFrame) -> pd.DataFrame:
  reading = pdf.sensor_reading
  pdf['normalized_reading'] = reading.mean() / reading.std()
  return pdf

def normalize_device(pdf: pd.DataFrame) -> pd.DataFrame:
   return pdf.groupby('trip_id').apply(normalize_trip)

expected_schema = 'device_id int, trip_id int, sensor_reading long, normalized_reading long'
df.groupBy('device_id').applyInPandas(normalize_device, expected_schema).display()",Optimizing the performance of applyInPandas operations in Spark by combining distributed processing with in-memory processing using custom aggregators.
"a. Comparison of the traditional and improved approaches 
b. Discussion on the balance between distributed processing and in-memory processing 
c. Suggestion for further testing with different sizes of data to determine the optimal approach.","

Feel free to generate different sizes of data to see which groupings work better or worse. The balance may be tough to strike, but if you know your data extremely well and it won’t change dramatically over time, the combined grouping approaches can significantly improve performance and cost savings for your data processing.",Optimizing the performance of applyInPandas operations in Spark by combining distributed processing with in-memory processing using custom aggregators.
a. Introduction to Natural Language Processing (NLP) techniques and their benefits b. Explanation of using NLP techniques without the need for large foundational models (GenAI) c. Overview of the techniques that will be explored in the article,"

The GenAI boom has been very beneficial, as it has brought to light numerous use cases that can leverage Natural Language Processing (NLP) techniques. NLP represents a field in AI that consists of several machine learning algorithms that analyze and understand human language and generate text with content similar to what humans would do. GenAI is not a necessity for NLP. You can still gain significant results through NLP techniques that do not require large foundational models associated with GenAI use cases. These use cases can be developed quickly with just a few lines of code at a really low cost while still reaching a fair level of performance and leverage open source models.","Two efficient classification techniques, zero-shot learning and few-shot learning, for implementing large language models (LLMs) in Databricks, and demonstrates how to deploy and serve these models in production using MLflow and Unity Catalog"
a. Text classification as a common NLP task b. Explanation of zero-shot learning and few-shot learning for text classification c. Discussion on the advantages of using these techniques,"

A common task in NLP is text classification - where we assign labels to our text. This improves the evaluation and post-analysis steps, by allowing us to organize our raw texts into a set of metadata categories. Attaching these metadata to our text significantly facilitates key information extraction. Several methods to help accomplish this task include zero-shot classification or few-shot classification.","Two efficient classification techniques, zero-shot learning and few-shot learning, for implementing large language models (LLMs) in Databricks, and demonstrates how to deploy and serve these models in production using MLflow and Unity Catalog"
a. Zero-shot learning for text classification b. Explanation of the Natural Language Inference (NLI) method c. Code example of implementing zero-shot learning with the Databricks ML Runtime,"

Zero-shot learning for text classification
Zero-shot Learning (ZSL) refers to the task of predicting a class that wasn't seen by the model during training. It’s fair to note that the concept first appeared in 2008, fifteen years before ChatGPT. It has been intensively used in computer vision and then widely adopted in NLP. A common approach to ZSL includes computing embeddings and determining the semantic similarity between two embeddings.

An alternative method to this, which has been used in the below example, is based on Natural Language Inference (NLI). This technique determines the compatibility of the two distinct sequences. Here, the input text will be semantically compared with each of the candidate labels, one by one.  For these comparisons, there is a starting hypothesis: that the label and the text are similar. The pipeline subsequently will determine if this hypothesis is true, false, or neutral. If the hypothesis is proven to be true, the label is relevant to the input text.

Since we must compare all the candidate labels with the input text, the number of these comparisons increases linearly with the number of candidates, so we can quickly hit performance issues. However, the advantage resides in the method itself. All those comparisons are done during the inference. There is no training or fine-tuning specific to our task. There is no dependency between the model and the list of candidate labels. This is a huge advantage! If our use case evolves, or if we need to add new labels, remove or modify some of them, there is no impact on the model.

from transformers import pipeline
import torch

# Determine if there is GPU or not
device = torch.device(""cuda"" if torch.cuda.is_available() else ""cpu"")

# Define the zeroshot pipeline
model = ""facebook/bart-large-mnli""
task = ""zero-shot-classification""
zshot = pipeline(task=task, model=model)

# Inference
candidate_labels = ['sports',
  'pop culture',
  'breaking news',
  'science and technology',
  'politics',
  'finance']

inference_config = {'candidate_labels': candidate_labels, 'multi_label': False}
input_text = ""Zinedine Zidane is the GOAT french football player""
pred_label = zeroshot(input_text, candidate_labels, device=device)","Two efficient classification techniques, zero-shot learning and few-shot learning, for implementing large language models (LLMs) in Databricks, and demonstrates how to deploy and serve these models in production using MLflow and Unity Catalog"
a. Registering and logging the zero-shot model with Unity Catalog b. Code example of registering the model with Unity Catalog,"

Register and log your Model with Unity Catalog
Now, we can register our model within Databricks Unity Catalog. By doing so, you will be able to centrally manage the entire lifecycle of your model, including access controls, lineage, and model discovery. You just need to define the catalog and the schema to register the model to.

```
import mlflow

# Set unity catalog
mlflow.set_registry_uri('databricks-uc')
catalog = ""dev""
schema = ""classif""

# Log the model
model_name = f""{catalog}.{schema}.zeroshot_model""
mlflow.transformers.log_model(
  transformers_model=zshot,
  artifact_path='zeroshot_model',
  registered_model_name=model_name,
)
```","Two efficient classification techniques, zero-shot learning and few-shot learning, for implementing large language models (LLMs) in Databricks, and demonstrates how to deploy and serve these models in production using MLflow and Unity Catalog"
a. Few-shot learning classification b. Explanation of the two parts of the few-shot model c. Discussion on the balance between training time and overall performance,"

Few-shot learning classification
Thanks to zero-shot learning, you've successfully deployed your initial classification model into production within a short timeframe, suggesting prompt solutions for your business end-users. As you begin to receive their feedback,  it's evident that while the model is beneficial, some misclassifications has occurred during testing, as expected.

You have been asked to improve your existing model, but budget and time constraints remain. The few-shot classification can help you here. In contrast to the previous solution, we will adapt the existing model with your data. However, the power of this method lies in the fact that you only need a few examples per label to fine-tune the model - some frameworks might even need less than 10 samples per label! This means that we are far from the extensive data requirements typically associated with training or fine-tuning LLMs.","Two efficient classification techniques, zero-shot learning and few-shot learning, for implementing large language models (LLMs) in Databricks, and demonstrates how to deploy and serve these models in production using MLflow and Unity Catalog"
